dataset,model,auc_roc,auc_pr,precision_fraud,recall_fraud,f1_fraud,fit_time_sec,tn,fp,fn,tp,n_test
BankSim,RandomForest,0.9533629210235831,0.7625208086798125,0.8364825581395349,0.6394444444444445,0.7248110831234257,18.935628414154053,146636,225,649,1151,148661
BankSim,HistGradientBoosting,0.9926381540670732,0.8009070949641373,0.18542116630669547,0.9538888888888889,0.3104882459312839,2.058976411819458,139318,7543,83,1717,148661
