dataset,model,auc_roc,auc_pr,precision_fraud,recall_fraud,f1_fraud,fit_time_sec,tn,fp,fn,tp,n_test
BankSim,RandomForest,0.9806699929411712,0.864166420254676,0.85065339141257,0.7594444444444445,0.8024655121808042,19.563665628433228,146621,240,433,1367,148661
BankSim,HistGradientBoosting,0.997704978403615,0.8968850712018711,0.3340961098398169,0.9733333333333334,0.49744463373083475,4.352546691894531,143369,3492,48,1752,148661
BankSim,RandomForest,0.9806699929411712,0.864166420254676,0.85065339141257,0.7594444444444445,0.8024655121808042,18.921518802642822,146621,240,433,1367,148661
BankSim,HistGradientBoosting,0.997704978403615,0.8968850712018711,0.3340961098398169,0.9733333333333334,0.49744463373083475,4.553096532821655,143369,3492,48,1752,148661
